Date,Close,Open,High,Low
"Jan 12, 2021","32,455.05","31,849.95","32,508.90","31,810.00"
"Jan 11, 2021","32,096.25","32,480.00","32,480.00","31,888.00"
"Jan 08, 2021","32,172.70","32,305.10","32,337.95","32,080.20"
"Jan 07, 2021","32,078.75","32,106.05","32,294.95","32,034.05"
"Jan 06, 2021","31,903.10","31,875.00","32,089.70","31,662.50"
"Jan 05, 2021","31,798.75","31,130.00","31,844.00","31,011.10"
"Jan 04, 2021","31,326.55","31,450.25","31,599.00","30,930.80"
"Jan 01, 2021","31,309.35","31,250.00","31,425.00","31,250.00"
"Dec 31, 2020","31,264.05","31,283.95","31,427.90","31,079.05"
"Dec 30, 2020","31,338.25","31,489.00","31,549.45","31,030.00"
"Dec 29, 2020","31,360.10","31,060.05","31,417.00","31,022.00"
"Dec 28, 2020","30,928.30","30,552.05","30,975.40","30,552.05"
"Dec 24, 2020","30,437.20","30,041.05","30,576.90","30,021.60"
"Dec 23, 2020","29,908.50","29,580.25","29,950.00","29,472.30"
"Dec 22, 2020","29,646.60","29,515.00","29,760.00","29,000.10"
"Dec 21, 2020","29,417.95","30,375.00","30,597.75","29,222.00"
"Dec 18, 2020","30,735.75","30,797.95","30,865.45","30,380.10"
"Dec 17, 2020","30,844.40","30,841.85","30,998.00","30,652.25"
"Dec 16, 2020","30,770.50","30,823.60","30,925.00","30,526.60"
"Dec 15, 2020","30,706.60","30,700.00","30,780.60","30,343.95"
"Dec 14, 2020","30,788.40","30,702.35","30,890.00","30,656.10"
"Dec 11, 2020","30,609.25","30,674.95","30,865.00","30,337.00"
"Dec 10, 2020","30,621.75","30,580.00","30,690.00","30,255.00"
"Dec 09, 2020","30,763.65","30,400.00","30,877.00","30,355.00"
"Dec 08, 2020","30,314.00","30,339.95","30,449.90","30,104.25"
"Dec 07, 2020","30,290.55","30,165.20","30,443.95","30,021.00"
"Dec 04, 2020","30,190.95","29,350.00","30,276.95","29,350.00"
"Dec 03, 2020","29,542.20","29,543.05","29,890.00","29,436.65"
"Dec 02, 2020","29,603.00","29,865.55","29,912.00","29,202.00"
"Dec 01, 2020","29,892.20","29,785.15","29,990.00","29,525.95"
"Nov 27, 2020","29,667.20","29,649.95","29,780.00","29,381.85"
"Nov 26, 2020","29,549.75","29,300.05","29,626.80","28,901.10"
"Nov 25, 2020","29,208.70","29,953.00","30,190.00","29,148.20"
"Nov 24, 2020","29,729.90","29,200.00","29,783.00","29,151.15"
"Nov 23, 2020","29,010.40","29,430.00","29,641.00","28,802.20"
"Nov 20, 2020","29,244.90","28,949.20","29,412.00","28,562.15"
"Nov 19, 2020","28,912.05","29,375.50","29,608.00","28,820.00"
"Nov 18, 2020","29,756.40","29,049.95","29,790.00","29,037.00"
"Nov 17, 2020","29,151.90","28,750.00","29,213.00","28,707.00"
"Nov 14, 2020","28,520.00","28,660.15","28,720.00","28,461.25"
"Nov 13, 2020","28,511.90","28,127.75","28,567.95","27,712.40"
"Nov 12, 2020","28,316.30","28,655.35","28,680.25","28,085.60"
"Nov 11, 2020","28,815.70","28,698.25","28,999.00","28,165.00"
"Nov 10, 2020","28,640.05","28,000.00","28,796.65","27,832.30"
"Nov 09, 2020","27,523.15","27,050.00","27,594.35","27,021.60"
"Nov 06, 2020","26,749.20","26,249.85","26,845.00","26,115.25"
"Nov 05, 2020","26,296.60","26,177.15","26,363.15","26,001.00"
"Nov 04, 2020","25,795.00","25,588.00","25,913.70","25,091.75"
"Nov 03, 2020","25,669.55","25,110.00","25,735.00","25,070.45"
"Nov 02, 2020","24,931.20","24,245.20","25,163.45","24,100.50"
"Oct 30, 2020","23,924.55","24,049.95","24,277.00","23,565.00"
"Oct 29, 2020","24,092.00","23,999.70","24,341.30","23,791.00"
"Oct 28, 2020","24,214.25","23,698.00","24,795.00","23,698.00"
"Oct 27, 2020","24,741.40","24,311.00","24,797.00","23,894.85"
"Oct 26, 2020","24,109.15","24,519.95","24,550.00","23,850.10"
"Oct 23, 2020","24,537.00","24,660.00","24,789.00","24,379.25"
"Oct 22, 2020","24,557.95","24,500.00","24,740.00","24,307.85"
"Oct 21, 2020","24,664.95","24,484.00","24,880.65","24,102.40"
"Oct 20, 2020","24,351.75","24,165.00","24,460.55","24,086.35"
"Oct 19, 2020","24,346.70","23,894.95","24,409.80","23,786.05"
"Oct 16, 2020","23,584.25","23,201.20","23,717.00","23,183.00"
"Oct 15, 2020","23,110.30","23,970.00","24,140.00","22,995.50"
"Oct 14, 2020","23,951.05","23,369.10","24,023.05","23,212.00"
"Oct 13, 2020","23,562.20","23,699.00","23,840.00","23,450.00"
"Oct 12, 2020","23,766.95","23,935.40","24,217.00","23,588.40"
"Oct 09, 2020","23,903.15","23,250.95","23,965.00","23,151.00"
"Oct 08, 2020","23,184.70","23,179.95","23,480.00","23,060.00"
"Oct 07, 2020","23,018.85","22,850.00","23,109.00","22,656.90"
"Oct 06, 2020","22,913.80","22,723.00","22,940.10","22,542.80"
"Oct 05, 2020","22,425.15","22,319.50","22,840.00","22,267.55"
"Oct 01, 2020","22,316.00","21,676.00","22,367.25","21,665.00"
"Sep 30, 2020","21,464.25","21,423.25","21,580.60","21,141.20"
"Sep 29, 2020","21,450.20","21,763.00","21,839.80","21,312.65"
"Sep 28, 2020","21,724.50","21,100.10","21,765.90","21,050.00"
"Sep 25, 2020","20,979.15","20,710.00","21,089.00","20,431.00"
"Sep 24, 2020","20,456.85","20,931.15","20,979.80","20,442.50"
"Sep 23, 2020","21,240.35","21,350.90","21,383.65","20,830.00"
"Sep 22, 2020","21,183.65","21,389.00","21,516.65","20,967.50"
"Sep 21, 2020","21,390.90","22,025.00","22,125.00","21,290.00"
"Sep 18, 2020","22,078.40","22,391.35","22,520.00","21,808.10"
"Sep 17, 2020","22,391.95","22,340.00","22,560.05","22,300.05"
"Sep 16, 2020","22,671.30","22,538.00","22,748.00","22,280.00"
"Sep 15, 2020","22,558.45","22,195.00","22,597.00","22,084.05"
"Sep 14, 2020","22,190.15","22,664.35","22,820.50","22,105.00"
"Sep 11, 2020","22,538.95","22,450.55","22,676.00","22,226.00"
"Sep 10, 2020","22,506.60","22,485.00","22,725.00","22,253.45"
"Sep 09, 2020","22,337.25","22,500.00","22,575.00","22,128.95"
"Sep 08, 2020","22,748.85","22,900.00","23,092.95","22,655.00"
"Sep 07, 2020","22,963.45","23,016.35","23,125.90","22,721.00"
"Sep 04, 2020","23,026.65","23,300.00","23,440.00","22,853.90"
"Sep 03, 2020","23,547.20","23,938.80","24,079.80","23,452.95"
"Sep 02, 2020","23,920.95","23,855.00","23,974.00","23,500.90"
"Sep 01, 2020","23,915.55","23,850.00","24,200.00","23,508.00"
"Aug 31, 2020","23,743.00","24,900.05","25,270.00","23,371.00"
"Aug 28, 2020","24,539.35","23,679.90","24,658.70","23,601.50"
"Aug 27, 2020","23,600.35","23,490.00","23,716.15","23,473.50"
"Aug 26, 2020","23,407.15","23,150.00","23,451.80","23,070.00"
"Aug 25, 2020","23,078.15","22,965.00","23,168.65","22,825.00"
"Aug 24, 2020","22,826.40","22,327.25","22,944.85","22,327.20"
"Aug 21, 2020","22,282.80","22,155.55","22,378.00","22,118.05"
"Aug 20, 2020","21,964.25","22,022.00","22,090.00","21,765.30"
"Aug 19, 2020","22,307.30","22,293.00","22,466.15","22,212.70"
"Aug 18, 2020","22,198.20","21,745.00","22,272.95","21,627.20"
"Aug 17, 2020","21,734.00","21,900.00","21,925.00","21,394.00"
"Aug 14, 2020","21,668.80","22,300.10","22,318.00","21,436.00"
"Aug 13, 2020","22,189.50","22,401.00","22,443.95","22,122.50"
"Aug 12, 2020","22,316.30","22,122.35","22,385.00","22,000.60"
"Aug 11, 2020","22,296.35","21,900.00","22,345.00","21,900.00"
"Aug 10, 2020","21,956.35","21,851.00","22,099.00","21,802.00"
"Aug 07, 2020","21,771.35","21,600.00","21,835.00","21,435.50"
"Aug 06, 2020","21,641.95","21,685.00","21,969.00","21,370.00"
"Aug 05, 2020","21,559.00","21,699.00","21,999.90","21,464.05"
"Aug 04, 2020","21,551.85","21,299.95","21,633.00","21,106.05"
"Aug 03, 2020","21,165.90","21,480.00","21,549.70","21,085.35"
"Jul 31, 2020","21,691.50","21,647.85","21,827.60","21,400.65"
"Jul 30, 2020","21,646.85","22,090.00","22,259.80","21,562.20"
"Jul 29, 2020","22,129.60","22,086.95","22,440.00","21,964.15"
"Jul 28, 2020","22,176.50","21,921.50","22,306.95","21,630.05"
"Jul 27, 2020","21,859.35","22,620.20","22,647.55","21,818.80"
"Jul 24, 2020","22,611.30","22,850.00","22,901.05","22,321.00"
"Jul 23, 2020","23,095.25","22,765.35","23,140.00","22,703.50"
"Jul 22, 2020","22,803.80","23,124.95","23,148.55","22,573.70"
"Jul 21, 2020","22,815.75","22,620.00","22,899.70","22,512.00"
"Jul 20, 2020","22,287.30","22,230.95","22,474.00","22,122.35"
"Jul 17, 2020","21,971.10","21,459.45","22,081.00","21,459.45"
"Jul 16, 2020","21,571.30","21,400.00","21,647.50","21,025.05"
"Jul 15, 2020","21,320.95","21,645.20","21,940.00","21,212.10"
"Jul 14, 2020","21,396.50","21,942.50","21,944.00","21,212.90"
"Jul 13, 2020","22,174.55","22,625.00","22,664.40","22,028.00"
"Jul 10, 2020","22,435.85","22,755.65","22,820.00","22,325.40"
"Jul 09, 2020","22,908.10","22,719.25","22,980.00","22,650.00"
"Jul 08, 2020","22,610.75","22,618.00","23,118.25","22,532.85"
"Jul 07, 2020","22,603.30","22,209.95","22,656.00","22,000.90"
"Jul 06, 2020","22,226.30","22,201.00","22,444.00","22,141.05"
"Jul 03, 2020","21,843.90","22,149.00","22,162.05","21,750.00"
"Jul 02, 2020","21,977.30","22,080.80","22,289.65","21,827.05"
"Jul 01, 2020","21,930.45","21,190.00","22,014.00","21,155.00"
"Jun 30, 2020","21,213.85","21,443.00","21,553.20","21,036.00"
"Jun 29, 2020","21,235.20","21,251.00","21,325.90","20,886.35"
"Jun 26, 2020","21,462.15","21,599.95","21,717.00","21,167.05"
"Jun 25, 2020","21,506.15","21,174.90","21,717.70","20,906.40"
"Jun 24, 2020","21,400.60","22,494.85","22,494.85","21,300.30"
"Jun 23, 2020","22,291.75","21,779.25","22,360.00","21,622.15"
"Jun 22, 2020","21,697.00","21,450.00","22,126.85","21,351.25"
"Jun 19, 2020","21,308.85","20,890.00","21,464.20","20,826.00"
"Jun 18, 2020","20,912.65","20,080.00","20,975.00","19,977.20"
"Jun 17, 2020","20,147.55","20,048.60","20,620.50","19,916.95"
"Jun 16, 2020","20,254.35","20,503.00","20,635.00","19,435.80"
"Jun 15, 2020","19,911.50","20,405.70","20,430.20","19,655.00"
"Jun 12, 2020","20,624.50","19,555.00","20,728.00","19,555.00"
"Jun 11, 2020","20,508.85","20,917.65","21,239.65","20,443.00"
"Jun 10, 2020","21,119.40","20,685.00","21,300.00","20,640.00"
"Jun 09, 2020","20,677.85","21,201.05","21,590.00","20,576.00"
"Jun 08, 2020","21,161.60","21,685.35","21,775.00","20,870.40"
"Jun 05, 2020","21,016.40","20,431.00","21,192.45","20,388.00"
"Jun 04, 2020","20,379.95","20,862.65","21,080.00","20,233.30"
"Jun 03, 2020","20,882.40","20,935.00","21,611.55","20,739.20"
"Jun 02, 2020","20,466.35","19,880.00","20,584.00","19,750.00"
"Jun 01, 2020","19,894.10","19,490.35","20,179.80","19,450.00"
"May 29, 2020","19,099.20","18,918.00","19,183.20","18,655.80"
"May 28, 2020","19,169.80","18,816.55","19,436.00","18,748.55"
"May 27, 2020","18,663.05","17,556.75","18,863.30","17,484.60"
"May 26, 2020","17,445.15","17,525.00","17,690.00","17,261.60"
"May 22, 2020","17,216.10","17,499.50","17,899.95","17,005.95"
"May 21, 2020","17,644.85","17,923.30","18,175.00","17,565.60"
"May 20, 2020","17,836.65","17,390.00","18,026.95","17,351.70"
"May 19, 2020","17,438.75","17,735.00","18,165.00","17,318.00"
"May 18, 2020","17,531.60","18,705.10","18,711.10","17,458.30"
"May 15, 2020","18,807.70","19,079.60","19,079.65","18,651.00"
"May 14, 2020","19,038.75","19,225.65","19,340.50","18,957.25"
